Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
2019,13.18,27.16,42.97,64.08,0,0,0,0,0,0,0,0,
2018,10.53,21.81,33.54,44.90,55.62,66.79,78.96,89.86,113.86,129.29,145.03,173.48,
2017,9.61,20.07,33.87,46.75,60.56,74.71,86.95,99.85,113.68,126.67,137.54,153.36,
