Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
MANULIFE-2019,14.12,-6.61,-7.78,-5.11,0,0,0,0,0,0,0,0,
MANULIFE-2018,17.32,2.76,4.11,0.56,4.45,5.21,5.96,6.68,7.49,6.85,8.68,9.96,
INSURANCE-2019,-145.39,-10.46,2.37,5.04,0,0,0,0,0,0,0,0,
INSURANCE-2018,-25.86,-21.20,6.96,17.73,17.64,18.28,12.23,13.50,19.14,0.83,-6.54,15.59,
INSURANCE-2017,14.64,-14.12,-1.33,-7.12,-13.87,7.15,11.26,7.84,18.18,10.07,18.29,19.99,
