Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
2019,1.89,3.91,6.29,17.35,0,0,0,0,0,0,0,0,
2018,2.18,4.52,6.87,9.08,11.30,13.66,15.92,17.68,28.24,30.31,31.88,46.02,
2017,1.47,3.84,5.77,7.74,10.38,12.68,14.30,16.70,19.06,21.13,24.04,26.40,
