Year,Q1_$M CAD,Q2_$M CAD,Q3_$M CAD,Q4_$M CAD,
BMO-2019,1.34,1.15,0,0,
BMO-2018,2.03,13.76,37.35,31.82,
BMO-2017,3.20,26.42,2.09,29.32,
