Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
RBC-2019,0.22,0.60,1.37,1.84,0,0,0,0,0,0,0,0,
RBC-2018,2.06,2.55,4.18,4.94,6.93,8.22,8.90,9.02,9.39,10.01,10.25,11.61,
RBC-2017,0.66,5.17,7.09,8.50,9.88,10.70,11.55,11.67,13.09,13.57,13.99,18.64,
