Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
2019,3.44,7.09,10.58,13.94,0,0,0,0,0,0,0,0,
2018,2.97,6.51,9.92,13.69,16.86,20.00,23.80,27.55,31.06,35.06,37.65,42.40,
2017,3.13,5.43,9.30,12.99,16.33,21.39,25.77,29.48,33.66,37.66,40.88,43.90,
