Year,Q1_$M CAD,Q2_$M CAD,Q3_$M CAD,Q4_$M CAD,
CIBC-2019,6.10,0.47,0,0,
CIBC-2018,5.08,14.18,13.39,31.61,
INTRIA-2019,0.13,0,0,0,
INTRIA-2018,0,1.01,1.01,0,
INTRIA-2017,0,0,0,0,
