year,month,revenue
2019,1,17.53
2019,2,22.37
2019,3,15.63
2019,4,16.97
2019,5,null
2019,6,null
2019,7,null
2019,8,null
2019,9,null
2019,10,null
2019,11,null
2019,12,null
2018,1,22.75
2018,2,21.86
2018,3,18.68
2018,4,18.65
2018,5,18.08
2018,6,16.05
2018,7,14.34
2018,8,14.90
2018,9,15.84
2018,10,15.19
2018,11,14.45
2018,12,17.24
2017,1,9.91
2017,2,2.04
2017,3,10.71
2017,4,14.35
2017,5,13.51
2017,6,13.87
2017,7,13.35
2017,8,13.42
2017,9,15.35
2017,10,14.75
2017,11,14.06
2017,12,14.74
