Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
2019,4.48,16.65,13.32,4.84,0,0,0,0,0,0,0,0,
2018,-6.50,23.88,15.22,15.46,14.64,8.89,15.30,14.17,17.36,12.65,11.57,13.09,
2017,-30.55,-30.90,-11.28,-2.10,-3.96,0.10,-1.54,-1.37,3.83,3.51,2.95,7.28,
