Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
2019,30.31,24.30,-111.18,18.44,0,0,0,0,0,0,0,0,
2018,19.75,20.44,16.98,14.03,14.99,15.15,15.93,15.99,22.72,22.28,21.36,24.13,
2017,-36.44,-2.23,11.38,6.96,10.09,11.99,7.63,10.83,12.27,10.91,11.64,12.66,
