Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
CIBC-2019,-4.17,-6.81,-8.59,-12.16,0,0,0,0,0,0,0,0,
CIBC-2018,12.76,13.70,12.87,7.92,9.64,12.89,11.73,12.63,13.24,11.09,9.55,7.12,
INTRIA-2019,61.55,56.88,51.54,52.47,0,0,0,0,0,0,0,0,
INTRIA-2018,1.59,-32.16,63.96,63.14,61.52,60.91,57.92,56.79,61.75,57.12,57.48,58.00,
INTRIA-2017,-46.14,-36.79,-30.06,-32.00,-36.26,-34.42,-33.10,-28.92,-23.46,-19.37,-17.73,-14.55,
