Year,Q1_$M CAD,Q2_$M CAD,Q3_$M CAD,Q4_$M CAD,
2019,23.93,4.08,0,0,
2018,14.95,41.68,65.67,68.81,
2017,27.94,49.09,18.23,230.70,
