Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
2019,2.58,5.54,23.93,28.06,0,0,0,0,0,0,0,0,
2018,3.93,6.91,14.95,26.50,43.86,56.62,70.12,72.07,122.29,149.60,179.02,191.10,
2017,2.35,12.24,27.94,36.15,38.96,77.03,77.22,89.39,95.27,103.97,117.94,325.96,
