Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
2019,17.53,22.37,15.63,16.97,0,0,0,0,0,0,0,0,
2018,22.75,21.86,18.68,18.65,18.08,16.05,14.34,14.90,15.84,15.19,14.45,17.24,
2017,9.91,2.04,10.71,14.35,13.51,13.87,13.35,13.42,15.35,14.75,14.06,14.74,
