Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
SCOTIA-2019,1.83,1.15,11.09,12.70,0,0,0,0,0,0,0,0,
SCOTIA-2018,0.13,1.03,1.96,7.41,8.17,8.30,8.32,9.18,20.52,23.32,23.31,23.36,
SCOTIA-2017,1.14,1.83,2.25,4.90,4.49,5.00,5.38,6.00,6.61,11.16,15.76,20.59,
