year,month,revenue
RBC-2019,1,1.37
RBC-2019,2,-0.05
RBC-2019,3,null
RBC-2019,4,null
RBC-2018,1,4.18
RBC-2018,2,4.04
RBC-2018,3,1.16
RBC-2018,4,2.22
RBC-2017,1,7.09
RBC-2017,2,3.61
RBC-2017,3,2.40
RBC-2017,4,5.55
