Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
CIBC-2019,0.41,1.43,6.10,6.64,0,0,0,0,0,0,0,0,
CIBC-2018,0.54,1.82,5.08,9.43,11.05,19.26,20.17,21.03,32.65,55.22,54.40,64.26,
INTRIA-2019,0,0.13,0.13,0.13,0,0,0,0,0,0,0,0,
INTRIA-2018,0,0,0,0.54,0.78,1.01,1.25,1.27,1.27,1.27,1.27,1.27,
INTRIA-2017,0,0,0,0,0,0,0,0,0,0,0,0,
