year,month,revenue
BMO-2019,1,1.34
BMO-2019,2,1.15
BMO-2019,3,null
BMO-2019,4,null
BMO-2018,1,2.03
BMO-2018,2,13.76
BMO-2018,3,37.35
BMO-2018,4,31.82
BMO-2017,1,3.20
BMO-2017,2,26.42
BMO-2017,3,2.09
BMO-2017,4,29.32
