Year,Q1_$M CAD,Q2_$M CAD,Q3_$M CAD,Q4_$M CAD,
SCOTIA-2019,11.09,1.99,0,0,
SCOTIA-2018,1.96,6.34,12.22,2.84,
SCOTIA-2017,2.25,2.74,1.61,13.98,
