Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
2019,24.29,22.06,-2.63,16.45,0,0,0,0,0,0,0,0,
2018,14.29,17.26,16.07,14.04,14.76,14.65,14.56,15.07,18.71,17.64,17.31,19.51,
2017,-8.76,-6.03,3.70,5.83,4.27,5.58,3.90,4.91,7.32,7.19,7.13,8.80,
