Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
BMO-2019,0.12,2.34,1.34,2.46,0,0,0,0,0,0,0,0,
BMO-2018,0.64,0.98,2.03,2.71,15.24,15.79,27.58,27.62,53.14,54.58,84.58,84.96,
BMO-2017,0.15,1.46,3.20,4.72,6.78,29.62,26.51,30.23,31.72,33.67,40.88,61.03,
