Year,Jan_C,Feb_C,Mar_C,Apr_C,May_C,Jun_C,Jul_C,Aug_C,Sep_C,Oct_C,Nov_C,Dec_C
CIBC-2019,3.10,6.86,12.00,14.82,0,0,0,0,0,0,0,0,
CIBC-2018,2.83,6.20,9.59,12.50,15.72,19.65,22.96,25.88,30.91,35.47,42.08,45.46,
INTRIA-2019,3.46,6.57,9.67,12.77,0,0,0,0,0,0,0,0,
INTRIA-2018,0.07,0.14,0.74,0.99,1.37,1.70,2.24,2.82,5.56,8.83,12.27,16.12,
INTRIA-2017,0.09,0.17,0.26,0.34,0.43,0.52,0.60,0.69,0.77,0.86,0.95,1.03,
