year,month,revenue
2019,1,23.93
2019,2,4.08
2019,3,null
2019,4,null
2018,1,14.95
2018,2,41.68
2018,3,65.67
2018,4,68.81
2017,1,27.94
2017,2,49.09
2017,3,18.23
2017,4,230.70
